country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,20500,22200,23200,24600,26300,26900,26800,28200,28600,27900,30300,31200,29800,31800,34500,28900,35800,33500,38400,34000,32300,32400,33200,34700,35500,35800,35900,36700,37900,38300,30100,40000,47100
Afghanistan,,,,,,,,,,,,,,,,,,,1340,1570,1770,1750,1960,2070,2120,2140,2050,2120,2140,2200,2090,1680,
Angola,3000,3320,1630,1500,1260,2350,2420,2830,2820,2630,2790,2900,3380,3470,3780,4310,4730,5350,5590,5840,5950,6120,6790,7090,7630,6900,6660,6770,6500,6260,5800,5990,6450
Albania,2550,1880,1740,2110,2300,2710,3050,2780,3110,3550,3980,4440,4780,5130,5560,5980,6760,7490,8270,8670,9530,10200,10400,10800,11400,11800,12300,12800,13500,14200,13800,15300,18300
UAE,,,,,,,,,,,102000,100000,95500,100000,108000,110000,110000,98000,84900,70700,67700,72700,74900,76000,79000,70000,69200,71700,73500,75200,71100,77100,88000
Argentina,6870,7740,8540,9390,9990,9750,10300,11200,11600,11200,11200,10800,9480,10500,10800,12000,14400,16100,16900,15800,17400,18800,19200,19700,19300,19700,19900,23000,22500,22100,20200,23400,26000
Armenia,2660,2470,1250,1440,1580,1810,1960,2140,2290,2420,2650,3000,3500,4090,4710,5560,6570,7780,8580,7340,7690,8160,9640,10400,10600,10500,11200,12900,13800,15100,13900,15200,18100
Antigua and Barbuda,11800,12800,13100,14100,15000,14300,15300,16300,16900,17500,18300,17900,17800,19200,20500,22400,25800,28500,28500,25000,23300,22900,21700,21200,20800,19900,20100,20600,22500,23500,19900,21700,25600
Australia,16800,17100,17600,18700,19700,20300,21400,22400,23600,24700,25800,26900,28300,29300,30900,31800,33500,35000,36000,38900,37800,40300,41600,44800,45700,45400,46200,47100,48700,50300,52000,55600,60800
Austria,19600,20600,21400,21800,22700,23600,24600,25300,26500,27200,29100,29300,31000,32100,33700,34900,37800,39400,41700,40900,42400,44600,46500,48000,48900,49400,52700,53700,56400,59500,57800,60800,67800
Azerbaijan,,,,3230,2610,2310,2360,2520,2790,3120,3320,3680,4030,4480,4850,5970,8140,10000,11600,12900,13800,13800,15100,16300,16900,14500,13500,13600,13800,14500,14400,15600,16600
Burundi,600,640,650,640,630,550,520,520,540,530,540,530,550,530,550,560,590,610,620,610,630,640,650,700,730,800,770,750,760,760,760,790,840
Belgium,18800,19700,20400,20800,22100,22900,23300,24300,25000,26000,28500,29300,30800,31500,32500,33600,35800,37300,38800,38500,40500,41000,43300,44800,45900,46900,49100,50900,53000,56300,55200,60100,66500
Benin,1200,1260,1270,1330,1330,1420,1470,1540,1580,1640,1720,1800,1850,1890,1970,2010,2080,2200,2290,2290,2290,2350,2410,2580,2730,2770,2880,2900,3080,3260,3330,3650,4020
Burkina Faso,570,620,620,640,650,680,760,800,840,890,900,950,970,1030,1070,1160,1250,1290,1350,1350,1410,1470,1530,1590,1570,1580,1750,1900,2030,2100,2130,2290,2440
Bangladesh,990,1040,1110,1170,1220,1280,1340,1400,1470,1530,1620,1700,1780,1860,1990,2150,2360,2580,2790,2930,3100,3330,3740,3990,4220,4450,4770,5000,5460,5930,6150,6870,7690
Bulgaria,6950,6490,6810,6910,7190,7570,6630,5570,6060,5730,6270,6970,7950,8550,9310,10300,11100,11900,13700,13700,14700,15300,16100,16300,17500,17800,19400,21000,22300,24400,24200,26900,32700
Bahrain,27100,29800,30300,32400,31700,33700,34800,34200,35600,36000,38400,38800,38900,41000,42100,43600,44700,46700,46400,41800,43500,43400,52000,51700,49500,43300,42800,46200,47400,48900,47100,51400,58500
Bahamas,19900,19300,18900,18800,19400,22400,24600,21500,22300,24100,25300,26000,26900,26800,27400,28700,29900,30700,30500,28800,28900,29400,29900,29100,30000,30400,30600,32500,33300,34100,26100,32100,38800
Bosnia and Herzegovina,,,,,840,1040,2010,2690,3830,4090,4520,4650,4950,5150,5910,6210,7090,7920,8910,9030,9240,9840,10200,10900,11200,11900,12900,13500,14700,16100,15800,17200,19800
Belarus,5230,5340,4920,4650,4190,3850,4050,4590,5060,5340,5780,6220,6690,7380,8490,9660,11000,12200,13700,13700,15100,16400,17700,18300,18400,17300,16900,17700,18700,19500,19500,21100,21700
Belize,4390,4970,5580,5920,5870,5920,5890,6060,6100,6500,7170,7380,7680,8200,8420,8670,9060,9190,8950,9130,8870,9080,8520,8730,8600,8850,8640,8310,8320,8670,7780,9430,10700
Bermuda,,,,,,,,,,,,,,,,,,,,,72200,71800,70500,72200,71400,74500,78500,85200,86100,86300,82800,90500,98600
Bolivia,2180,2330,2400,2510,2650,2780,2900,3050,3200,3190,3270,3350,3420,3480,3640,3870,4120,4340,4640,4710,4850,5140,5460,6100,6560,6750,7210,8000,8460,8710,8020,8660,9460
Brazil,6440,6640,6670,7010,7350,7900,8100,8360,8330,8280,8740,8900,9190,9390,10100,10600,11300,12300,13000,12900,13800,14600,14600,15300,15400,14400,13900,14200,14600,14900,14600,15800,17300
Barbados,9430,9380,9060,9280,9620,9950,10500,11200,11700,11900,12600,12500,12700,13200,13800,14500,15600,16600,16800,16100,16200,15700,15200,15100,15000,15300,15700,15500,15700,15900,14600,14700,17500
Brunei,55200,57100,59500,59500,61200,63700,65200,63900,62800,64300,66200,68200,70500,72600,73600,74900,79300,80700,79300,77400,78200,80100,84500,81400,80000,64700,59500,63800,61500,65800,67000,66800,67800
Bhutan,1470,1450,1570,1740,1920,1960,2100,2270,2230,2320,2860,3090,3350,3560,3790,4140,4540,5400,5630,5900,6510,7040,7530,7690,8350,9180,9980,10700,11200,12000,11100,12100,
Botswana,5650,6380,6610,6990,6330,7080,7090,7830,8230,8300,8360,8730,8210,8950,9150,9950,11300,12300,12500,11000,11700,12900,12300,12200,13900,13000,14000,13400,13900,14900,14300,16300,17800
Central African Republic,620,620,580,570,590,630,600,630,650,670,640,680,690,660,700,710,750,790,800,870,910,950,1030,690,680,740,800,880,940,960,950,990,1030
Canada,19500,19600,19900,20700,21800,22700,23300,24500,25400,26900,28600,29400,30200,31600,33200,35600,37500,39000,39800,38200,39300,40900,41500,43600,45000,44000,45900,47700,49100,49200,46900,52700,57800
Switzerland,,,,,,31500,32300,34100,35400,36600,39000,39200,39600,41200,42600,44900,49600,51100,50300,53700,57300,57800,60400,62700,63400,65900,67000,67300,68100,70200,68600,76000,82900
Chile,4200,4620,5300,5820,6180,6970,7710,8320,8730,8670,9140,9550,9850,10300,10900,11700,14000,15200,15300,15000,16900,18600,20400,21400,21800,22100,22800,23600,24500,24600,23400,26700,28600
China,980,1100,1260,1450,1660,1830,2030,2240,2410,2620,2880,3160,3500,3910,4420,5020,5830,6830,7630,8290,9220,10200,11100,11800,12500,12800,13400,14200,15400,16600,17100,19400,21300
Cote d'Ivoire,2480,2500,2480,2440,2480,2620,1830,1940,1990,2010,1880,1840,1810,1750,1860,2060,2110,2150,2280,2340,2460,2250,2490,2650,4180,4480,4590,4690,4920,5200,5220,5680,6340
Cameroon,1940,1840,1780,1640,1650,1680,1740,1800,1870,1940,1970,2030,2110,2260,2450,2500,2640,2730,2800,2840,2860,2930,2980,3140,3340,3390,3500,3620,3750,3830,3790,4000,4330
"Congo, Dem. Rep.",,,,,490,470,510,480,460,430,420,400,410,430,460,480,510,540,550,560,590,620,620,670,750,810,910,990,1030,1040,1070,1140,1290
"Congo, Rep.",2900,3000,3180,2920,2890,2120,2170,2610,2820,2520,2700,2750,2910,2970,2840,3270,3910,3580,3920,4450,4790,4680,5740,5680,5600,4680,4090,4920,4480,4700,3980,3920,4050
Colombia,4880,5070,5300,5650,6050,6380,6490,6710,6730,6440,6610,6740,6900,7150,7610,8200,8890,9590,9940,10100,10400,11200,11600,12400,13000,13200,13800,14100,14800,15500,14900,16800,19500
Comoros,1510,1440,1580,1620,1530,1580,1560,1610,1610,1640,1820,1870,1890,1930,1980,2060,2140,2180,2260,2300,2370,2460,2650,2800,2900,2900,3070,3260,3390,3450,3420,3580,3850
Cape Verde,1080,1110,1230,1330,1570,1780,1970,2180,2420,2660,3020,3150,3280,3450,3840,4130,4520,5370,5760,5660,5670,5970,5810,5830,5720,6030,6470,6910,7330,7920,6280,6910,8600
Costa Rica,4740,4980,5440,5830,6150,6360,6450,6760,7090,7210,7440,7730,7980,8350,8860,9410,10300,11400,12100,11700,12300,13000,13700,14300,15300,16200,18100,19100,20000,21300,20400,21300,23400
Cayman Islands,,,,,,,,,,,,,,,,,,,,,62800,64500,44100,38600,37200,38600,42300,46600,50800,56000,48700,53000,
Cyprus,13300,13500,14700,14800,15600,16200,16500,16800,19300,18500,19500,21200,22300,23300,24500,26300,28400,30800,34300,33800,33000,34300,31700,30100,29400,31700,34500,37300,39200,41700,38800,42100,47500
Czech Republic,,,11800,12100,12800,13800,14500,14600,14800,15100,15900,17100,17600,18900,19900,21100,22400,24600,26300,25900,25800,26700,27400,28900,30300,31600,33700,36600,38900,41500,40700,43800,46900
Germany,19700,21100,21800,21900,22800,23500,24100,24500,25200,26100,27100,28200,28900,29600,31500,32100,34700,36800,38200,37600,39700,43600,44400,46000,48000,48700,51800,54300,57100,59600,58100,61300,66000
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,3750,3980,4270,4320,4440,4670,5010,5060,5500,6010
Dominica,4240,4420,4630,4870,4890,5100,5270,5540,5880,5810,5850,6300,6140,6670,6960,7300,8220,8900,9780,9850,10100,10300,10000,10100,10800,10900,11700,11600,12200,12700,11000,12100,13500
Denmark,17600,18400,19200,19700,21200,22300,23300,24500,25400,26400,28000,29000,30300,30600,33000,34400,37800,39200,41700,40700,43700,45300,45800,48200,49600,50500,53300,56600,59100,61600,62800,68700,77400
Dominican Republic,3540,3610,4020,4270,4420,4680,4990,5440,5760,6080,6420,6620,6930,6710,6860,7860,8780,9540,10100,10100,10900,11300,11300,11800,12700,14000,15200,15700,17100,18100,16900,19500,21900
Algeria,6720,6570,6760,6690,6590,6770,7040,7180,7550,7750,8090,8580,8990,9710,10200,10900,11400,12200,12600,12600,13100,13400,13200,12800,12800,11800,11600,11600,11700,11800,11200,11900,12900
Ecuador,4350,4650,4830,4980,5220,5370,5440,5700,5820,5380,5470,5820,6080,6250,6790,7300,7760,8000,8670,8650,8980,9710,10200,11000,11500,10900,10900,11400,11600,11500,10600,11600,12600
Egypt,3550,3740,3900,4010,4160,4360,4560,4790,5030,5270,5610,5850,5900,6070,6350,6700,7300,7900,8460,8670,8850,8940,10300,10300,10100,10700,10400,10800,11400,11900,12300,13100,14600
Eritrea,,,960,1080,1290,1300,1350,1470,1510,1510,1460,1580,1590,1510,1500,1560,1570,1610,1440,1460,1480,1610,,,,,,,,,,,
Spain,13500,14300,14700,14900,15300,16100,16700,17700,18900,19800,21400,22600,24100,24800,25900,27200,30100,31700,32300,31500,31200,31300,31500,32200,33400,34900,37400,39600,40800,43200,38100,41500,46500
Estonia,,,,,,,,,,,9070,9810,11100,12400,13700,15900,18300,20500,21600,19900,20500,23300,24900,26800,28100,28500,30600,33000,35600,38500,38900,42400,45200
Ethiopia,410,380,340,380,390,410,450,460,430,450,470,510,510,490,560,630,700,780,860,910,1010,1110,1190,1260,1480,1620,1840,1980,2110,2260,2370,2550,2800
