country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3282935,3288817,3297661,3309479,3324285,3339157,3354095,3369101,3384173,3399313,3414520,3429796,3445140,3460553,3476034,3491585,3507205,3522896,3538656,3554487,3570389,3586362,3602406,3618522,3634711,3650971,3667305,3683711,3700191,3716745,3734342,3752993,3767956,3783940,3800954,3818038,3835192,3852417,3869714,3887081,3904521,3922032,3939616,3957271,3975000,3992801,4010675,4028623,4046645,4064740,4082915,4101170,4119504,4137920,4156416,4174988,4193635,4212359,4231159,4250036,4268990,4288021,4307129,4326316,4345580,4364922,4384343,4403843,4423422,4443080,4462817,4482635,4502532,4522510,4542568,4562708,4582928,4603230,4623613,4644079,4672084,4707744,4751177,4802500,4861833,4921891,4982681,5044212,5106495,5169536,5300178,5504191,5787792,6157669,6621025,7119235,7654918,8230894,8850190,9529174,9976355,10188845,10162753,9893152,9374030,8882148,8416077,7974462,7556019,7159534,6851115,6626142,6480237,6409250,6409250,6409250,6409250,6409250,6409250,6409250,6428903,6468510,6528377,6608815,6710138,6813016,6917471,7023527,7131209,7240542,7356890,7480461,7571537,7667533,7764546,7864285,7971931,8087727,8210201,8333826,8468211,8622466,8790140,8969047,9157465,9355514,9565147,9783147,10010030,10247780,10494489,10752971,11015857,11286753,11575305,11869879,12157386,12425267,12687301,12938862,12986369,12486631,11155195,10088289,9951449,10243686,10512221,10448442,10322758,10383460,10673168,10694796,10745167,12057433,14003760,15455555,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771,42239854,43372950,44515793,45667550,46827624,47990912,49158072,50330837,51506437,52685458,53866558,55046630,56226855,57410144,58600249,59792941,60985590,62180342,63375847,64572473,65768823,66964990,68161269,69355671,70546052,71729374,72905780,74075234,75237171,76389963,77532235,78663890,79788207,80899832,81998402,83084272,84152304,85205111,86241147,87254855,88248606,89228558,90189815,91131134,92059516,92972912,93861812,94723569,95562571,96383675,97187281,97970493,98732058,99473737,100196491,100896716,101578603,102242085,102881221,103500474,104100265,104677122,105228197,105752837,106254728,106734775,107193821,107630910,108041524,108430416,108801262,109153078,109487140,109802281,110094664,110366921,110621216,110854784
Albania,400000,401773,403554,405343,407140,408945,410758,412579,414408,416246,418099,419953,421814,423684,425563,427449,429344,431248,433159,435086,437026,438981,440950,442934,444927,446929,448940,450959,452988,455027,457074,459130,461196,463271,465356,467449,469552,471665,473787,475919,478060,480211,482372,484542,486722,488912,491112,493321,495541,498261,501490,505313,509659,514536,519460,524430,529449,534515,539629,544793,550006,555269,560582,565946,571361,576828,582348,587920,593546,599215,604928,610685,616487,622333,628235,634193,640208,646279,652408,658596,664842,671147,677511,683937,690423,696970,703580,710252,716988,723850,730840,737961,745214,752600,760060,767593,775202,782885,790645,798342,805974,813539,821036,828461,835954,843514,851143,858841,866609,874016,881057,887724,894013,899917,905859,911841,917862,923923,929879,935646,941221,946603,951788,956775,961788,966828,971893,976986,982104,988255,995454,1003716,1013057,1023495,1034040,1044694,1055458,1066333,1077319,1088816,1100833,1113381,1126469,1140109,1153914,1167887,1182028,1196341,1210827,1229519,1252582,1289168,1326948,1366744,1409005,1453730,1500624,1549571,1600983,1655020,1711189,1769079,1828232,1888302,1949013,2009789,2070689,2132443,2195466,2259799,2324731,2389812,2455171,2520436,2585452,2650122,2713560,2774795,2833314,2888763,2941651,2992389,3041179,3087911,3131726,3171725,3207128,3237676,3263019,3282182,3295066,3302081,3303739,3300711,3293999,3284364,3271331,3253719,3232175,3208260,3182021,3153612,3123551,3092991,3062622,3032634,3003387,2976084,2951689,2930541,2913399,2900654,2892193,2887014,2884102,2882481,2881063,2879355,2877013,2873883,2866849,2854710,2842321,2832439,2826020,2821626,2816695,2811110,2804771,2797599,2789599,2780747,2770957,2760238,2748602,2736080,2722651,2708322,2693123,2677082,2660261,2642682,2624352,2605325,2585680,2565420,2544581,2523233,2501416,2479150,2456472,2433447,2410095,2386456,2362612,2338671,2314636,2290462,2266228,2241969,2217671,2193330,2168947,2144514,2119999,2095344,2070486,2045423,2020143,1994581,1968690,1942411,1915726,1888653,1861203,1833355,1805098,1776443,1747379,1717915,1688101,1657949,1627496,1596837,1566007,1535081,1504139,1473235,1442424,1411764,1381307,1351092,1321193,1291701,1262630,1233974,1205778,1178009,1150649,1123709,1097162
Algeria,2500000,2509126,2518286,2527479,2536706,2545967,2555261,2564589,2573951,2583348,2592813,2602278,2611778,2621312,2630882,2640486,2650125,2659800,2669510,2678262,2686052,2692874,2698723,2703593,2708472,2713360,2718256,2723162,2728076,2732999,2737931,2742872,2747822,2752781,2757748,2762725,2767711,2772705,2777709,2782722,2787744,2792774,2797814,2802863,2807921,2812989,2818065,2823150,2828245,2838059,2852648,2872405,2897058,2926664,2956573,2986788,3017311,3048147,3079297,3110766,3142556,3174671,3207115,3239889,3272999,3306447,3340237,3374372,3408856,3443692,3478884,3514436,3550350,3586632,3623285,3660312,3697718,3735505,3773679,3812243,3851201,3890557,3930315,3970479,4011054,4052043,4093452,4135283,4177542,4219933,4262454,4305104,4347882,4390784,4434110,4477863,4522048,4566669,4611731,4663386,4721802,4787149,4859600,4939332,5020372,5102742,5186463,5271557,5358048,5433528,5497750,5550464,5591415,5620343,5649420,5678648,5708027,5737558,5766569,5802743,5846192,5897033,5955381,6021355,6088060,6155505,6223696,6292643,6362353,6441431,6530132,6628718,6737455,6856617,6977885,7101299,7226895,7354713,7484792,7613042,7739370,7863680,7985870,8105839,8227611,8351211,8476669,8604011,8733267,8871792,9019866,9271734,9521702,9771686,10011541,10242288,10473168,10703251,10933784,11164443,11394307,11598608,11778260,11969451,12179099,12381256,12613389,12897115,13190975,13491016,13795915,14110271,14439748,14786469,15153602,15724692,16500516,17134192,17632645,18166981,18739378,19351357,20000096,20682111,21393530,22132905,22882553,23586101,24243018,24889507,25518074,26133905,26748303,27354327,27937006,28478022,28984634,29476031,29924668,30346083,30774621,31200985,31624696,32055883,32510186,32956690,33435080,33983827,34569592,35196037,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225,45606480,46278751,46922031,47538087,48130008,48700234,49251258,49787283,50311560,50826981,51336846,51845003,52352520,52860879,53371371,53883769,54398757,54917437,55440658,55965060,56488986,57012291,57533658,58050507,58559198,59055401,59535713,60001113,60448557,60876331,61284226,61669728,62034902,62380476,62705250,63008270,63290067,63553718,63800407,64030745,64246482,64450331,64644688,64829897,65007149,65177499,65342355,65502938,65658479,65809570,65956723,66101239,66243451,66382805,66518856,66651776,66781853,66906222,67023728,67135335,67241746,67343755,67438775,67524808,67604432,67677174,67741203,67796428,67842358,67878963,67907110,67925672,67932708,67927891,67911625,67884546,67845527,67792981
Andorra,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2658,2665,2677,2692,2711,2730,2749,2769,2788,2808,2828,2848,2868,2888,2908,2929,2950,2970,2991,3013,3034,3055,3077,3099,3120,3142,3165,3187,3210,3232,3255,3278,3299,3321,3342,3364,3385,3407,3429,3451,3474,3496,3519,3541,3564,3587,3611,3634,3657,3681,3705,3729,3753,3777,3801,3826,3851,3875,3900,3926,3951,3976,4002,4028,4054,4080,4106,4133,4160,4186,4213,4241,4268,4295,4323,4351,4379,4407,4436,4464,4493,4522,4551,4581,4610,4640,4670,4700,4730,4761,4802,4855,4920,4996,5085,5176,5268,5361,5456,5557,5617,5637,5617,5557,5456,5358,5261,5166,5073,4981,4919,4885,4880,4904,4956,5009,5062,5116,5170,5225,5280,5337,5393,5450,5508,5567,5626,5686,5746,5807,5893,6005,5827,5454,5308,5566,6116,6705,7330,7994,8700,9443,10216,11014,11839,12690,13563,14546,15745,17079,18449,19860,21322,22832,24393,26003,27640,29294,30949,32574,34142,35611,36987,38598,40432,42181,43809,45605,47635,49654,51639,53569,55434,57283,59156,61037,62928,64147,64682,65186,65655,66097,67820,70849,73907,76933,79826,80221,78168,76055,73852,71519,70567,71013,71367,71621,71746,72540,73837,75013,76343,77700,79034,79824,80088,80341,80578,80796,80998,81187,81366,81528,81674,81799,81914,82015,82096,82154,82189,82218,82227,82210,82169,82103,82010,81888,81739,81558,81347,81099,80817,80504,80159,79782,79376,78945,78490,78011,77510,76998,76477,75943,75403,74861,74319,73781,73241,72704,72173,71644,71119,70606,70111,69623,69138,68674,68228,67789,67357,66948,66542,66144,65760,65389,65034,64684,64341,64009,63685,63369,63062,62769,62479,62191,61920,61657,61400,61152,60915,60683,60460,60245
Angola,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1567028,1571640,1580933,1594974,1613834,1637584,1661683,1686138,1710952,1736131,1761680,1787606,1813913,1840608,1867695,1895181,1923071,1951372,1980089,2009229,2038798,2068802,2099247,2130141,2161489,2193299,2225576,2258329,2291563,2325287,2359507,2390443,2418020,2445025,2468568,2488555,2508701,2529007,2549474,2570102,2590895,2611894,2633102,2654522,2676155,2698003,2720026,2742225,2764601,2787156,2809892,2831694,2852547,2872435,2891341,2909249,2927264,2945386,2963618,2981958,3000408,3018954,3037598,3056340,3075181,3094120,3113172,3132337,3151616,3171010,3190519,3203693,3210508,3210945,3204981,3192595,3180253,3167955,3155700,3143489,3131321,3117320,3101503,3083888,3064493,3043335,3022320,3001447,2980714,2960121,2939666,2921666,2906100,2892945,2882183,2873791,2865420,2857070,2848742,2840434,2829072,2828420,2838595,2859717,2891905,2935284,2979313,3024003,3069363,3115404,3162135,3208915,3255737,3302592,3349470,3396362,3443911,3492126,3541016,3590590,3640858,3694824,3752594,3814276,3879980,3949820,4020916,4093293,4166972,4241977,4318333,4397048,4478184,4569738,4663958,4758724,4850458,4938118,5022109,5104328,5185839,5269947,5357195,5441333,5521400,5599827,5673199,5736582,5787044,5827503,5868203,5928386,6029700,6177049,6364731,6578230,6802494,7032713,7266780,7511895,7771590,8043218,8330047,8631457,8947152,9276707,9617702,9970621,10332574,10694057,11060261,11439498,11828638,12228691,12632507,13038270,13462031,13912253,14383350,14871146,15366864,15870753,16394062,16941587,17516139,18124342,18771125,19450959,20162340,20909684,21691522,22507674,23364185,24259111,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774,35588987,36684202,37804634,38942791,40099526,41274799,42468711,43680934,44911664,46161755,47428242,48710079,50007927,51321963,52652827,53998512,55355639,56723291,58104437,59498476,60898051,62306440,63724815,65146245,66573219,68005916,69442324,70883694,72328068,73774086,75223158,76674298,78126279,79575479,81022753,82473045,83918902,85350757,86772720,88190473,89601398,91008490,92411186,93802031,95186902,96561686,97919777,99270553,100616429,101952668,103272579,104577368,105868752,107147050,108405569,109640640,110862763,112069492,113260742,114437689,115598067,116740342,117861818,118967393,120055714,121119315,122160893,123179830,124173415,125146984,126100607,127033384,127943409,128830077,129694099,130531451,131342265,132131700,132901280
Antigua and Barbuda,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,36992,36985,36977,36970,36962,36955,36947,36940,36891,36802,36673,36503,36293,36085,35877,35671,35466,35263,35099,34974,34889,34843,34836,34829,34822,34815,34808,34801,34832,34903,35013,35162,35351,35540,35731,35923,36116,36309,36423,36455,36408,36280,36071,35864,35658,35453,35249,35047,34822,34575,34307,34017,33707,33399,33095,32793,32493,32197,31919,31659,31417,31193,30985,30780,30575,30373,30171,29977,29841,29765,29746,29786,29884,29982,30081,30179,30279,30378,30646,31089,31712,32522,33525,34559,35624,36723,37855,39022,40042,40909,41617,42158,42526,42897,43272,43650,44031,44416,44883,45435,46398,47359,48317,49280,50264,51250,52245,53263,54299,55342,56245,57008,57778,58664,59644,60615,61617,62658,63742,64517,64769,64695,64463,64218,64035,63990,64117,64329,64609,64889,65076,65231,65408,65362,65048,64712,64353,63982,63636,63328,63634,64659,65834,67072,68398,69798,71218,72572,73821,75055,76215,77195,78075,78941,79869,80895,82016,83251,84534,85695,86729,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219,93763,94298,94816,95319,95803,96266,96701,97118,97510,97871,98200,98507,98788,99034,99245,99421,99570,99689,99776,99834,99850,99838,99806,99743,99658,99543,99397,99228,99030,98811,98582,98331,98058,97771,97469,97153,96825,96484,96132,95762,95379,94990,94590,94187,93769,93335,92896,92448,91992,91528,91058,90587,90105,89615,89114,88596,88084,87567,87041,86510,85974,85429,84884,84343,83796,83254,82715,82174,81638,81106,80572,80044,79520,78996,78490,77987,77484,76989,76501
Argentina,534000,519565,505520,491855,478559,465622,453035,440789,428873,417280,419661,422044,429196,441120,453376,465972,478918,492224,505900,518837,530996,542336,552814,562385,572122,582027,592104,602355,612784,623653,634974,646761,659027,671785,684790,698047,711561,725336,739378,756337,776366,799625,826281,856507,887839,920317,953983,988880,1025054,1058278,1088372,1115018,1138141,1157536,1177263,1197325,1217730,1238482,1259588,1285058,1315097,1349915,1389733,1434777,1481281,1529293,1578860,1630034,1682867,1737244,1793208,1850807,1910088,1971098,2034058,2099028,2166073,2235260,2306657,2380335,2456365,2534824,2615789,2699340,2785560,2874534,2966350,3061098,3158873,3260729,3366831,3477345,3592446,3712318,3836189,3964194,4096469,4233159,4374409,4524892,4685089,4855502,5036658,5229108,5428911,5636349,5851713,6075305,6307441,6532092,6748544,6956048,7153812,7341005,7533097,7730214,7932490,8140058,8354021,8579951,8818354,9069751,9334686,9613722,9901098,10197065,10501879,10815805,11139114,11443159,11726853,11989069,12228636,12444339,12663847,12887227,13114548,13345878,13581288,13825464,14078649,14341093,14613051,14894786,15181952,15474655,15773001,16077098,16387059,16700599,17017742,17354612,17693853,18032740,18369249,18700686,19031192,19363786,19695352,20024524,20349744,20680653,21020359,21364017,21708487,22053661,22403116,22757014,23112971,23472028,23842803,24223379,24612794,25020588,25449754,25875558,26290257,26713780,27146121,27584134,28024803,28471285,28922762,29377137,29832197,30287112,30748326,31216453,31690792,32165766,32637657,33105763,33568285,34027240,34488696,34946110,35389362,35815971,36233195,36653031,37070774,37480493,37885028,38278164,38668796,39070501,39476851,39876111,40273769,40684338,41100123,41520740,41952365,42388269,42824054,43257065,43668241,44054616,44413596,44745520,45036032,45276780,45510318,45773884,46057866,46337520,46613495,46885957,47154446,47418599,47678560,47933520,48184274,48431562,48674651,48912958,49145855,49373724,49595170,49808558,50014489,50212929,50402787,50584827,50759160,50924787,51081914,51231274,51371596,51501321,51621175,51730940,51830730,51920043,51999260,52068035,52126668,52176088,52215391,52245005,52265798,52277808,52281057,52276572,52264442,52245374,52218248,52183035,52139986,52088234,52028279,51960537,51885310,51802896,51713015,51614967,51510299,51400732,51285048,51163666,51036103,50901652,50761524,50616039,50465467,50309412,50148849,49983702,49813683,49640050,49463448,49283276,49100251,48915058,48726997,48536699,48344995,48151485,47956037,47759283,47561645
Armenia,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,413326,414085,415609,417905,420982,424845,428744,432678,436649,440655,444699,448780,452898,457054,461249,465481,469753,474064,478414,482804,487235,491706,496218,500772,505367,510004,514685,519408,524174,528984,533838,538737,543681,548732,553829,558974,564166,569407,574697,580035,585423,590862,596350,601890,607481,613124,618820,624568,630370,636226,642136,648101,654121,660197,666330,672520,678767,685072,691436,697859,704341,710884,717487,724152,730879,737668,744520,751436,758416,765461,772572,779748,786991,794301,801680,809126,816642,824228,831884,839612,847411,855282,863227,871245,879338,887506,895750,904070,912468,920944,929498,938132,946846,955641,964518,973477,982519,991645,1000857,1010153,1019423,1028778,1038218,1047746,1057361,1067063,1076856,1086737,1096710,1106774,1116930,1127180,1137524,1147962,1158497,1169128,1179856,1190684,1201610,1212637,1223765,1234995,1246328,1257765,1269307,1280955,1292709,1304572,1316544,1328625,1340817,1359533,1385041,1424000,1465061,1508559,1554921,1604376,1657515,1714534,1774816,1838234,1904148,1971530,2039346,2106142,2171029,2234051,2295496,2355997,2416461,2476359,2534377,2590923,2648048,2706852,2767646,2830798,2896311,2965523,3038224,3097058,3135123,3167876,3202011,3238291,3272102,3300896,3327182,3351364,3366838,3448186,3556539,3617631,3574555,3457349,3373713,3322782,3298898,3271418,3240550,3206030,3168523,3133133,3105037,3084102,3065745,3047246,3026486,3004393,2983421,2964296,2946293,2928976,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974,2780469,2777970,2777979,2777003,2775109,2772323,2768742,2764470,2759528,2753925,2747753,2741125,2734049,2726573,2718722,2710501,2701923,2693021,2683809,2674265,2664340,2654030,2643414,2632515,2621300,2609802,2598016,2585903,2573465,2560653,2547441,2533858,2519905,2505509,2490682,2475470,2459871,2443880,2427507,2410780,2393659,2376144,2358233,2339841,2320973,2301665,2281874,2261571,2240823,2219691,2198247,2176488,2154418,2132142,2109673,2087010,2064215,2041384,2018593,1995882,1973264,1950791,1928557,1906570,1884822,1863322,1842079,1821081,1800342,1779842,1759523,1739362,1719307,1699311,1679316,1659264,1639158,1619018,1598835
Australia,200000,205195,210524,215992,221602,227357,233263,239321,245537,251914,258627,265344,272236,279307,286561,294004,301640,309474,317512,323943,328728,331827,333197,332795,332395,331994,331595,331195,330797,332089,335111,339904,346508,354966,363631,372507,381599,390914,400456,411303,423526,437202,452407,469223,486665,504755,523518,542978,563161,589474,622584,663068,711848,769782,832431,900179,973440,1052664,1138335,1217207,1288324,1350642,1403020,1444212,1486613,1530259,1575186,1621432,1669036,1715197,1759814,1802779,1843982,1883307,1923471,1964491,2006386,2049174,2092875,2143490,2201376,2266902,2340455,2422437,2507291,2595117,2686019,2780105,2877486,2968103,3051532,3127332,3195043,3254185,3314421,3375772,3438259,3501902,3566723,3630550,3693331,3755013,3815541,3874858,3935097,3996273,4058399,4121490,4185562,4254685,4329018,4408726,4493975,4584938,4677743,4772426,4869025,4967579,5069291,5171552,5274343,5377647,5481442,5585709,5691958,5800229,5910560,6022989,6137556,6240926,6332771,6412756,6480541,6535776,6591481,6647662,6704321,6761463,6819092,6887821,6967916,7059648,7163293,7279134,7396847,7516465,7638016,7761534,7887049,8025441,8177167,8419830,8632792,8819165,9003370,9209844,9429810,9644191,9853146,10065683,10286647,10505938,10711941,10917375,11131609,11359442,11592675,11809110,12027262,12268349,12595034,12993834,13300308,13513318,13713388,13886854,14038072,14193365,14355814,14520527,14706322,14930052,15168445,15383076,15579476,15785682,16012299,16259249,16525903,16796588,17048003,17271086,17462504,17631511,17805504,18002999,18211845,18410250,18601667,18800892,19017963,19248143,19475844,19698999,19925056,20171731,20467030,20830828,21247873,21660892,22019168,22357034,22729269,23111782,23469579,23820236,24195701,24590334,24979230,25357170,25670051,25921089,26177413,26439111,26699482,26958054,27214034,27467171,27717005,27962250,28202414,28437615,28667426,28892146,29112898,29329425,29541523,29750263,29955530,30157199,30355784,30551298,30744528,30935796,31124643,31310778,31493926,31673994,31850587,32023534,32192919,32358849,32522010,32683280,32842393,32998543,33151923,33303997,33454262,33601953,33747588,33891728,34034206,34174679,34313450,34450720,34586466,34719971,34852217,34983729,35113058,35239192,35362319,35483223,35602050,35718440,35831823,35941629,36048135,36151694,36252872,36351404,36446618,36538880,36629440,36719831,36808950,36896433,36983114,37069213,37156043,37244135,37333372,37424355,37516818,37609981,37704899,37800882,37896276,37992429,38089401
Austria,3000000,3017451,3035004,3052658,3070416,3088277,3106241,3124310,3142485,3160765,3179258,3197752,3216353,3235063,3253881,3272809,3291847,3310996,3330256,3349015,3367266,3385004,3402223,3418916,3435691,3452549,3469489,3486512,3503619,3520820,3538115,3555505,3572991,3590572,3608240,3625995,3643838,3661768,3679786,3698789,3718786,3739787,3761804,3784847,3808031,3831357,3854826,3878438,3902195,3926782,3952208,3978557,4005766,4033846,4062123,4090598,4119272,4148148,4177226,4206120,4234828,4263344,4291666,4319789,4348096,4376588,4405267,4434134,4463191,4494618,4528451,4564726,4603478,4644744,4686380,4728390,4770776,4813542,4856691,4900094,4943751,4987664,5031834,5076261,5121081,5166297,5211912,5257929,5304353,5352739,5403121,5455531,5510005,5566578,5623731,5681470,5739803,5798734,5858271,5918416,5979176,6040557,6102565,6165207,6228492,6292427,6357018,6422272,6488195,6538009,6571587,6588803,6589530,6573637,6557782,6541966,6526188,6510448,6494625,6486496,6486069,6493353,6508355,6531083,6553892,6576779,6599747,6622795,6645923,6664878,6679644,6690204,6696542,6698643,6700745,6702847,6704950,6707053,6709158,6715380,6725734,6740236,6758902,6781747,6804668,6827667,6850744,6873899,6897132,6917983,6936440,6930431,6927015,6931794,6939642,6946260,6951739,6965319,6986787,7013596,7046553,7085435,7128967,7174868,7222900,7269888,7320913,7375630,7413808,7439324,7465301,7498541,7542077,7584023,7597030,7576926,7563511,7566358,7560249,7547481,7547561,7566316,7571289,7559110,7558563,7562114,7567248,7572380,7583761,7619391,7678729,7755638,7840816,7905278,7935365,7947296,7958041,7967093,7975862,7991377,8010428,8039626,8078992,8120104,8171217,8227034,8267763,8294722,8321131,8342935,8362829,8391200,8429637,8479539,8546066,8642421,8736487,8797496,8840513,8879940,8907777,8922082,8939617,8958960,8977139,8994123,9009822,9023827,9036044,9046322,9054576,9060869,9065311,9067937,9068871,9068346,9066453,9063229,9058835,9053460,9047040,9039623,9031238,9021774,9011355,8999968,8987428,8973593,8958386,8941895,8924190,8905098,8884517,8862759,8839835,8815837,8791242,8766162,8740607,8714799,8689137,8663690,8638619,8614156,8590201,8566779,8543993,8521826,8500101,8478879,8458094,8437481,8417038,8396728,8376262,8355533,8334623,8313466,8292141,8270861,8249594,8228533,8207685,8187010,8166600,8146557,8127072,8108188,8089988,8072623,8056319,8040975,8026642,8013470,8001332,7990088,7979785,7970277,7961449,7953320,7945563
